Champion,Skin,Votes
Aatrox,Classic,44
Aatrox,Justicar,73
Aatrox,Mecha,312
Aatrox,Sea Hunter,35
Aatrox,Blood Moon,331
Aatrox,Prestige Blood Moon,580
Aatrox,Victorious,34
Aatrox,Odyssey,83
Aatrox,Lunar Eclipse,194
Ahri,Classic,23
Ahri,Dynasty,9
Ahri,Midnight,32
Ahri,Foxfire,50
Ahri,Popstar,49
Ahri,Challenger,21
Ahri,Academy,8
Ahri,Arcade,36
Ahri,Star Guardian,112
Ahri,K/DA,34
Ahri,Prestige K/DA,54
Ahri,Elderwood,78
Ahri,Spirit Blossom,748
Ahri,K/DA ALL OUT,90
Ahri,Coven,123
Ahri,Arcana,70
Akali,Classic,13
Akali,Stinger,7
Akali,Infernal,37
Akali,All-star,3
Akali,Nurse,26
Akali,Blood Moon,67
Akali,Silverfang,28
Akali,Headhunter,13
Akali,Sashimi,17
Akali,K/DA,92
Akali,Prestige K/DA,173
Akali,PROJECT,55
Akali,True Damage,92
Akali,K/DA ALL OUT,100
Akali,Crime City Nightmare,30
Akali,Star Guardian,329
Akshan,Classic,114
Akshan,Cyber Pop,111
Akshan,Crystal Rose,218
Alistar,Classic,2
Alistar,Black,30
Alistar,Golden,3
Alistar,Matador,5
Alistar,Longhorn,6
Alistar,Unchained,3
Alistar,Infernal,6
Alistar,Sweeper,2
Alistar,Marauder,8
Alistar,SKT T1,9
Alistar,Moo Cow,394
Alistar,Hextech,14
Alistar,Conqueror,8
Alistar,Blackfrost,51
Alistar,Lunar Beast,20
Amumu,Classic,4
Amumu,Pharaoh,9
Amumu,Vancouver,12
Amumu,Emumu,17
Amumu,Re-Gifted,16
Amumu,Almost-Prom King,7
Amumu,Little Knight,17
Amumu,Sad Robot,26
Amumu,Surprise Party,83
Amumu,Infernal,78
Amumu,Hextech,21
Amumu,Pumpkin Prince,60
Amumu,Porcelain,107
Amumu,Heartache,4
Anivia,Classic,2
Anivia,Team Spirit,15
Anivia,Bird of Prey,1
Anivia,Noxus Hunter,1
Anivia,Hextech,4
Anivia,Blackfrost,119
Anivia,Prehistoric,7
